+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 50 |       NEW |     READY |
|                 0 | 40 |       NEW |     READY |
|                 0 | 50 |     READY |   RUNNING |
|                20 | 50 |   RUNNING |   WAITING |
|                21 | 40 |     READY |   RUNNING |
|                40 | 50 |   WAITING |     READY |
|                51 | 40 |   RUNNING |   WAITING |
|                52 | 50 |     READY |   RUNNING |
|                61 | 40 |   WAITING |     READY |
|                72 | 50 |   RUNNING |   WAITING |
|                73 | 40 |     READY |   RUNNING |
|                92 | 50 |   WAITING |     READY |
|               103 | 40 |   RUNNING |   WAITING |
|               104 | 50 |     READY |   RUNNING |
|               113 | 40 |   WAITING |     READY |
|               124 | 50 |   RUNNING |   WAITING |
|               125 | 40 |     READY |   RUNNING |
|               144 | 50 |   WAITING |     READY |
|               155 | 40 |   RUNNING |   WAITING |
|               156 | 50 |     READY |   RUNNING |
|               165 | 40 |   WAITING |     READY |
|               176 | 50 |   RUNNING |   WAITING |
|               177 | 40 |     READY |   RUNNING |
|               196 | 50 |   WAITING |     READY |
|               207 | 40 |   RUNNING |   WAITING |
|               208 | 50 |     READY |   RUNNING |
|               217 | 40 |   WAITING |     READY |
|               228 | 50 |   RUNNING |   WAITING |
|               229 | 40 |     READY |   RUNNING |
|               248 | 50 |   WAITING |     READY |
|               259 | 40 |   RUNNING |   WAITING |
|               260 | 50 |     READY |   RUNNING |
|               269 | 40 |   WAITING |     READY |
|               280 | 50 |   RUNNING |   WAITING |
|               281 | 40 |     READY |   RUNNING |
|               300 | 50 |   WAITING |     READY |
|               311 | 40 |   RUNNING |   WAITING |
|               312 | 50 |     READY |   RUNNING |
|               321 | 40 |   WAITING |     READY |
|               332 | 50 |   RUNNING |   WAITING |
|               333 | 40 |     READY |   RUNNING |
|               352 | 50 |   WAITING |     READY |
|               363 | 40 |   RUNNING |   WAITING |
|               364 | 50 |     READY |   RUNNING |
|               373 | 40 |   WAITING |     READY |
|               384 | 50 |   RUNNING |   WAITING |
|               385 | 40 |     READY |   RUNNING |
|               404 | 50 |   WAITING |     READY |
|               415 | 40 |   RUNNING |   WAITING |
|               416 | 50 |     READY |   RUNNING |
|               425 | 40 |   WAITING |     READY |
|               436 | 50 |   RUNNING |   WAITING |
|               437 | 40 |     READY |   RUNNING |
|               456 | 50 |   WAITING |     READY |
|               467 | 40 |   RUNNING |   WAITING |
|               468 | 50 |     READY |   RUNNING |
|               477 | 40 |   WAITING |     READY |
|               488 | 50 |   RUNNING |   WAITING |
|               489 | 40 |     READY |   RUNNING |
|               508 | 50 |   WAITING |     READY |
|               519 | 40 |   RUNNING |   WAITING |
|               520 | 50 |     READY |   RUNNING |
|               529 | 40 |   WAITING |     READY |
|               540 | 50 |   RUNNING |   WAITING |
|               541 | 40 |     READY |   RUNNING |
|               560 | 50 |   WAITING |     READY |
|               571 | 40 |   RUNNING |   WAITING |
|               572 | 50 |     READY |   RUNNING |
|               581 | 40 |   WAITING |     READY |
|               592 | 50 |   RUNNING |   WAITING |
|               593 | 40 |     READY |   RUNNING |
|               612 | 50 |   WAITING |     READY |
|               612 | 40 |   RUNNING |TERMINATED |
|               612 | 50 |     READY |   RUNNING |
|               632 | 50 |   RUNNING |   WAITING |
|               652 | 50 |   WAITING |     READY |
|               652 | 50 |     READY |   RUNNING |
|               672 | 50 |   RUNNING |   WAITING |
|               692 | 50 |   WAITING |     READY |
|               692 | 50 |     READY |   RUNNING |
|               712 | 50 |   RUNNING |   WAITING |
|               732 | 50 |   WAITING |     READY |
|               732 | 50 |     READY |   RUNNING |
|               752 | 50 |   RUNNING |   WAITING |
|               772 | 50 |   WAITING |     READY |
|               772 | 50 |     READY |   RUNNING |
|               792 | 50 |   RUNNING |   WAITING |
|               812 | 50 |   WAITING |     READY |
|               812 | 50 |     READY |   RUNNING |
|               821 | 50 |   RUNNING |TERMINATED |
+------------------------------------------------+
